Name,Address,Latitude,Longitude
ATM CN Hưng Yên,"Số 129 Hải Thượng Lãn Ông, phường Hiến Nam, Thành Phố Hưng Yên, Tỉnh Hưng Yên, Việt Nam",20.746454,106.09917
ATM CN Phú Thọ,"Số 2191 đường Hùng Vương, phường Gia Cẩm, thành phố Việt Trì, tỉnh Phú Thọ",21.323349,105.38382
ATM CN Bạc Liêu,"Số 206-208 đường Trần Phú, phường 7, TP. Bạc Liêu, tỉnh Bạc Liêu",9.303747,105.7213
ATM CN Sơn La,"457A Chu Văn Thịnh, thành phố Sơn La, tỉnh Sơn La, Việt Nam",21.33928,103.90973
ATM CN Ninh Thuận,"207B Ngô Gia Tự, phường Thanh Sơn, TP Phan Rang Tháp Chàm, tỉnh Ninh Thuận, Việt Nam",11.569214,108.994865
ATM CN Hà Nam,"Số PG1-08A VinCom, đường Biên Hòa, Tổ 5, Phường Minh Khai, thành phố Phủ Lý, tỉnh Hà Nam",20.543644,105.91744
ATM CTY CHINGLUH 07,"Khu công nghiệp Thuận Đạo, Thị trấn Bến Lức, Tỉnh Long An, Việt Nam",10.623041,106.48951
ATM CTY CHINGLUH 08,"Khu công nghiệp Thuận Đạo, Thị trấn Bến Lức, Tỉnh Long An, Việt Nam",10.623041,106.48951
ATM CTY CHINGLUH 09,"Khu công nghiệp Thuận Đạo, Thị trấn Bến Lức, Tỉnh Long An, Việt Nam",10.623041,106.48951
ATM CTY KUNGTAY,"Cụm công nghiệp Đức Mỹ, Xã Đức Hòa Đông, Huyện Đức Hòa, Tỉnh Long An, Việt Nam",10.803577,106.4941
ATM PGD Huỳnh Tấn Phát,"705 Huỳnh Tấn Phát, P. Phú Thuận, Quận 7, Thành Phố Hồ Chí Minh, Việt Nam",10.736632,106.73065
ATM PGD Thái Sơn,"222 Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Thành Phố Hồ Chí Minh, Việt Nam",10.820153,106.683205
ATM PGD Lê Văn Sỹ,"185 B-C Đường Lê Văn Sỹ, phường 13, quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",10.792503,106.67026
ATM PGD KCN AMATA,"50-52 Ðồng Khởi, KP.4, P. Tân Hiệp, Thành Phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam",10.952693,106.870316
ATM PGD Lê Quang Định,"472 Đường Lê Quang Định, Phường 11, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, Việt Nam",10.813779,106.68986
ATM PGD Minh Phụng,"169-171 Minh Phụng, Phường 9, Quận 6, Thành Phố Hồ Chí Minh, Việt Nam",10.752737,106.64279
ATM PGD Phước Long,"274 - 276 Đỗ Xuân Hợp, Phường Phước Long A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",10.812617,106.77573
ATM PGD Thanh Bình,"L1-3, L1-4 KDC Phú Gia, đường Nguyễn Khuyến,  Khu phố 5, Phường Trảng Dài, Thành Phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam",10.949201,106.82048
ATM PGD Khánh Hội,"173 Đường Khánh Hội, phường 3, Quận 4, Thành Phố Hồ Chí Minh, Việt Nam",10.757228,106.70019
ATM PGD Nguyễn Văn Quá,"Số 410A đường Nguyễn Văn Quá, phường Đông Hưng Thuận, quận 12, TP.HCM",10.837358,106.629364
ATM PGD Lê Trọng Tấn,"445-445A Lê Trọng Tấn, P. Sơn Kỳ, Quận Tân Phú, Thành Phố Hồ Chí Minh, Việt Nam",10.807507,106.6225
ATM PGD Nam Sài Gòn,"930a-930b Tạ Quang Bửu, Phường 5, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",10.734136,106.654945
ATM PGD Nguyễn Ảnh Thủ,"2C Nguyễn Ảnh Thủ, Phường Trung Mỹ Tây, Quận 12, Thành Phố Hồ Chí Minh, Việt Nam",10.856638,106.60818
ATM PGD Nguyễn Văn Cừ,"118-120, Đường Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Thành Phố Hồ Chí Minh, Việt Nam",10.758597,106.68449
ATM PGD Phước Tĩnh,"10 Tổ 2, Ấp Phước Lâm, Xã Phước Hưng, Huyện Long Điền, Tỉnh Bà Rịa Vũng Tàu, Việt Nam",10.410483,107.19522
ATM PGD Thảo Điền,"1 Đường số 49B, Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",10.802156,106.72821
