Name,Address,Type,WorkingHour,Latitude,Longitude
ATM PGD Phước Long,"Thửa đất số 16, tờ bản đồ số 3, KP5, phường Long Phước, thị xã Phước Long, tỉnh Bình Phước",,<p>Hoạt động 247</p>,11.6368732,106.8991577
ATM Nông Trường Cao Su Bổ Túc,"Ấp Đông Lợi,  xã Tân Đông, huyện Tân Châu, tỉnh Tây Ninh",,<p>Hoạt động 247</p>,11.6803409,106.2377384
CRM PGD Tân Châu 1,"Số 95 Trần Văn Trà, khu phố 2, thị trấn Tân Châu, huyện Tân Châu, tỉnh Tây Ninh",,<p>Hoạt động 247</p>,11.5550752,106.1598663
CRM PGD Buôn Hồ,"Số 563 Hùng Vương, TDP7, phường An Lạc, tỉnh Đắk Lắk",,<p>Hoạt động 247</p>,12.912388,108.2642223
CRM PGD Cư M'gar ,"Số 66 Hùng Vương, thị trấn Quảng Phú, tỉnh Đắk Lắk",,<p>Hoạt động 247</p>,12.8148943,108.073186
ATM Kho K856 Quảng Trị,"Kho K856 và Kho KC84, Cục Quân Khí , xã Hướng Hiệp, huyện ĐắKrông, Quảng Trị",,<p>Hoạt động 247</p>,16.7635515,106.728356
ATM Hải Đội 202,"Thị trấn Cửa Việt, huyện Gio Linh, tỉnh Quảng Trị",,<p>Hoạt động 247</p>,16.9146496,107.1702359
ATM Trường THPT Lê Thế Hiếu,"Thôn Đốc Kỉnh, xã Cam Chính, huyện Cam Lộ, tỉnh Quảng Trị",,<p>Hoạt động 247</p>,16.7438202,106.9622651
ATM Sen Bụt Khe Sanh,"Xã Hướng Phùng, huyện Hướng Hóa, tỉnh Quảng Trị",,<p>Hoạt động 247</p>,16.7259432,106.5343786
ATM/CRM Bệnh viện Quân y 103,"Bệnh viện quân y 103, Phùng Hưng, phường Phúc La, Hà Đông, Hà Nội.",,<p>Hoạt động 247</p>,20.9675243,105.7878055
ATM Công ty TNHH Sun House,"Cụm Công nghiệp Ngọc Liệp, xã Ngọc Liệp, huyện Quốc Oai, Hà Nội",,<p>Hoạt động 247</p>,20.9916783,105.588156
ATM Trường Cao đẳng Phòng không - Không quân ,"Xã Yên Bài, thị trấn Thanh Mai, huyện Thanh Oai, Hà Nội",,<p>Hoạt động 247</p>,20.8694956,105.7432231
ATM Aeon Mall Hà Đông,"Lô số A3, tại tầng 1 Khu thương mại AEON MALL Hà Đông, Dương Nội, Hà Đông, Hà Nội",,<p>Hoạt động 247</p>,20.9968026,105.7437635
CRM PGD Hà Đông,"Toà tháp Thiên Niên Kỷ Hà Đông, số 4 Quang Trung, phường Yết Kiêu, quận Hà Đông, Hà Nội.",,<p>Hoạt động 247</p>,20.97416,105.77920
CRM PGD Hòa Lạc,"Tầng 1, tòa nhà CT TNHH MTV Phát triển Khu CNC Hòa Lạc, khu CNC Hòa Lạc, xã Thạch Hòa, huyệnThạch Thất, Hà Nội",,<p>Hoạt động 247</p>,21.0068631,105.5317593
ATM Lữ đoàn 134,"Xã Hòa Sơn, Lương Sơn, Hòa Bình",,<p>Hoạt động 247</p>,20.9062032,105.5379444
ATM Công ty CP Hoàn Cầu Hòa Bình,"Xã Thành Lập, huyện Lương Sơn, tỉnh Hòa Bình",,<p>Hoạt động 247</p>,20.8527056,105.5205289
ATM Trung tâm huấn luyện Miếu Môn,"Xã Đông Tâm, huyện Mỹ Đức, Hà Nội",,<p>Hoạt động 247</p>,20.8071262,105.6563836
CRM CN Hòa Đức,"Lô A38-NV 16 ô số 11 và ô số 12, khu đô thị mới hai bên đường Lê Trọng Tấn,  xã An Khánh, huyện Hoài Đức, Hà Nội.",,<p>Hoạt động 274</p>,21.00527,105.73277
ATM/CRM PGD Di Linh,"Số 725 Hùng Vương, thị xã Di LInh, huyện Di Linh, Lâm Đồng",,<p>Hoạt động 247</p>,11.57817,108.07521
ATM Công ty TNHH Tiến Triển,"Thửa đất số 150,159,160, tờ bản đồ số 18, khu phố Ông Đông, phường Tân Hiệp, thị xã Tân Uyên, tỉnh Bình Dương",,<p>Hoạt động 247</p>,11.0834784,106.6288737
ATM Khách sạn Hillton,"Số 50 Bạch Đằng, Hải Châu 1, Quận Hải Châu, Đà Nẵng",,<p>Hoạt động 247</p>,16.0727587,108.2220484
ATM Shilla Monogram Resort,"01 Lạc Long Quân, Thị xã Điện Bàn, Tỉnh Quảng Nam ",,<p>Hoạt động 247</p>,15.9629617,108.2868112
CRM CN Phú Yên,"99A-101 Hùng Vương, phường 6, thành phố Tuy Hòa, tỉnh Phú Yên",,<p>Hoạt động 247</p>,13.0891752,109.3121113
ATM Khách sạn Hoa Sen,"330 Cửa Đại, phường Cẩm Châu, thành phố Hội An, tỉnh Quảng Nam",,<p>Hoạt động 247</p>,15.8825994,108.3437651
ATM Ủy ban mặt trận Tổ Quốc Hội An,"01 Hoàng Diệu, phường Sơn Phong, thành phố Hội An, tỉnh Quảng Nam",,<p>Hoạt động 247</p>,15.8789343,108.3303138
ATM BCH Quân sự thành phố Hội An,"278 Cửa Đại, phường Cẩm Châu, thành phố Hội An, tỉnh Quảng Nam",,<p>Hoạt động 247</p>,15.531644,108.210747
ATM An Bàng,"Khối An Tân, phường Cẩm An, thành phố Hội An, tỉnh Quảng Nam",,<p>Hoạt động 247</p>,15.897476,108.3210539
ATM Trung đoàn Bộ binh 888,"Đường Võ Thị Sáu, phường Phú Đông, thành phố Tuy Hòa, Phú Yên",,<p>Hoạt động 247</p>,13.0603955,109.3254621
ATM Quảng trường sông Hoài,"Bãi đỗ xe Quảng Trường, 02 Đào Duy Từ, Cẩm Phô, Hội An, Quảng Nam",,<p>Hoạt động 247</p>,15.8769857,108.32227044
ATM Kho KV4 Cục Quân Khí,"Kho Kv4, xã Tràng An, thị xã Đông Triều, tỉnh Quảng Ninh",,<p>Hoạt động 247</p>,21.10985,106.54478
ATM Lữ đoàn 147,"Khu 7, phường Quảng Yên, thị xã Quảng Yên, tỉnh Quảng Ninh",,<p>Hoạt động 247</p>,20.93857,106.80628
ATM Lữ đoàn 405,"Xã Bình Khê, thị xã Đông Triều, tỉnh Quảng Ninh",,<p>Hoạt động 247</p>,21.11085,106.56544
CRM CN Uông Bí,"Số 277 đường Quang Trung, phường Quang Trung, thành phố Uông Bí, tỉnh Quảng Ninh",,<p>Hoạt động 247</p>,21.03379,106.77677
ATM Sư đoàn 395,"Khu chùa Bằng, phường Quảng Yên, thị xã Quảng Yên, tỉnh Quảng Ninh",,<p>Hoạt động 247</p>,20.94081,106.81045
ATM Xưởng may mũi giày Quảng Yên,"Xưởng may mũi giày Quảng Yên, đường Trần Nhân Tông, thị xã Quảng Yên, tỉnh Quảng Ninh",,<p>Hoạt động 247</p>,20.93918,106.78824
ATM Công ty Sao vàng Uông Bí,"Khu Phú Thanh Tây, phường Yên Thanh, thành phố Uống Bí, tỉnh Quảng Ninh",,<p>Hoạt động 247</p>,21.03494,106.7452
ATM UBND xã Thượng Yên Công,UBND xã ,,<p>Hoạt động 247</p>,21.10448,106.73047
ATM Trường tiểu học Nghĩa Phú,"Thôn Cổ Lũy Bắc, xã Nghĩa Phú, thành phố Quảng Ngãi, tỉnh Quảng Ngãi",,<p>Hoạt động 247</p>,15.1281042,108.8842211
ATM UBND huyện Ba Tơ,"Thị trấn Ba tơ, huyện Ba Tơ, tỉnh Quảng Ngãi",,<p>Hoạt động 247</p>,14.714697,108.5895291
ATM Bệnh viện Phúc Hưng,"số 6 Cao Bá Quát, thành phố Quảng Ngãi, tỉnh Quảng Ngãi",,<p>Hoạt động 247</p>,15.1108624,108.8129758
CRM PGD Mộ Đức,"Thôn Thạch Trụ Tây, xã Đức Lân, huyện Mộ Đức, tỉnh Quảng Ngãi",,<p>Hoạt động 247</p>,14.8901492,108.9055395
ATM Kho bạc huyện Sơn Tịnh,"Xã Tịnh Hà, huyện Sơn Tịnh, tỉnh Quảng Ngãi",,<p>Hoạt động 247</p>,15.1215805,108.790521
ATM Nhà máy thép Hòa Phát Dung Quất,"Xã Bình Đông, huyện Bình Sơn, tỉnh Quảng Ngãi",,<p>Hoạt động 247</p>,15.3664865,108.7886022
CRM CN Móng Cái,"Số 02 đường Hùng Vương, phường Hòa Lạc, thành phố Móng Cái, tỉnh Quảng Ninh",,<p>Hoạt động 247</p>,2152953,107.96888
ATM Đồn Biên Phòng Móng Cái,"Đường Hữu Nghị, phường Trần Phú, thành phố Móng Cái, tỉnh Quảng Ninh",,<p>Hoạt động 247</p>,107.9677857,21.5348566
ATM Học viện Mật Mã,"Học viện Mật Mã, đường Chiến Thắng, Tân Triều, Thanh Xuân, Hà Nội",,<p>Hoạt động 247</p>,20.9808114,105.7940398
ATM Công ty SI FLEX,"Khu Công nghiệp Quang Châu, xã Quang Châu, huyện Việt Yên, tỉnh Bắc Giang",,<p>Hoạt động 247</p>,21.2123441,106.0880904
ATM Công ty Dệt 10/10,"Công ty Dệt 10/10, xã Cổ Bi, huyện Gia Lâm, Hà Nội",,<p>Hoạt động 247</p>,20.9969446,105.8609918
CRM CN Thanh Xuân,"Tầng 1 tòa nhà Gold Tower, số 275 Nguyễn Trãi, phường Thanh Xuân Trung, quận Thanh Xuân, Hà Nội",,<p>Hoạt động 247</p>,20.9886853,105.907181
ATM Viện Y học Phóng xạ U bướu Quân Đội,"Số 18 Định Công Thượng, Định Công, Hoàng Mai, Hà Nội",,<p>Hoạt động 247</p>,20.9804968,106.163881
ATM Viện Y học Cổ truyền Quân Đội,"422 Kim Giang, Đại Kim, Hoàng Mai, Hà Nội",,<p>Hoạt động 247</p>,20.9738029,109.2220455
ATM Ký túc xá Mễ Trì,"Số 182 Lương Thế Vinh, Thanh Xuân Bắc, quận Thanh Xuân, Hà Nội",,<p>Hoạt động 247</p>,20.9909124,105.5379444
CRM Đại học Quốc gia Hà Nội,"Tòa E5 Đại học Quốc gia Hà Nội, số 144 Xuân Thủy, Dịch Vong, Cầu GIấy, Hà Nội",,<p>Hoạt động 247</p>,21.0376763,105.7794414
CRM CN Tây Hồ,"Tầng 1 tòa nhà số 28 Xuân La, Tây Hồ, Hà Nội",,<p>Hoạt động 247</p>,21.0625596,105.8128864
CRM CN Trần Duy Hưng,"Tầng 1 tòa nhà 17T2, Hoàng Đạo Thúy, Trung Hòa, Cầu Giấy, Hà Nội",,<p>Hoạt động 247</p>,21.0092314,107.5835599
ATM Lữ đoàn 205,"Lữ đoàn 205, số 22 Trần Duy Hưng, Cầu Giấy, Hà Nội",,<p>Hoạt động 247</p>,20.9931595,105.8198813
ATM Tòa nhà Thái Bình,"Tòa nhà Thái Bình, ngõ 19 Duy Tân, Cầu Giấy, Hà Nội",,<p>Hoạt động 247</p>,21.0302824,105.6563836
CRM PGD Tràng An,"Vincom Center 54 Nguyễn Chí Thanh, quận Đống Đa, Hà Nội",,<p>Hoạt động 247</p>,21.02304972,105.8085504
CRM CN Xuân Thủy,"Tầng 1 tòa nhà Bảo Anh, số 83-85 Trần Thái Tông, Dịch Vọng, Cầu Giấy, Hà Nội",,<p>Hoạt động 247</p>,21.0289532,105.8424348
