Province,Name,Address,Latitude,Longitude
Hà Nội,Chi nhánh Tây Hồ - Phòng giao dịch Yên Phụ,"Chi nhánh Tây Hồ - Phòng giao dịch Yên PhụSố 13, phố Yên Phụ, Phường Yên Phụ, Quận Tây Hồ,  Thành phố Hà Nội",0.0,0.0
Hà Nội,Chi nhánh Tây Hồ - Phòng giao dịch Châu Long,"Chi nhánh Tây Hồ - Phòng giao dịch Châu LongSố 127C phố Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Thành phố Hà Nội",21.043696,105.822457
Hà Nội,"ATM So 345, Lac Long Quan","ATM So 345, Lac Long QuanSo 345, Lac Long Quan",21.053819,105.80905
Hà Nội,"ATM So 739, Lac Long Quan","ATM So 739, Lac Long QuanSo 739, Lac Long Quan",21.078605,105.815839
Hà Nội,"ATM 98-100 Nghi Tam, tay Ho, Hn","ATM 98-100 Nghi Tam, tay Ho, Hn98-100 Nghi Tam, tay Ho, Hn",21.057812,105.835559
Hà Nội,"ATM So 447, Lac Long Quan","ATM So 447, Lac Long QuanSo 447, Lac Long Quan",21.059563,105.808629
Hà Nội,"ATM So 447, Lac Long Quan","ATM So 447, Lac Long QuanSo 447, Lac Long Quan",21.059563,105.808629
Hà Nội,ATM So 11 Yen Phu,ATM So 11 Yen PhuSo 11 Yen Phu,21.05092,105.839394
Hà Nội,"ATM So 127C, Thuy Khue","ATM So 127C, Thuy KhueSo 127C, Thuy Khue",21.043305,105.822501
Hà Nội,ATM So 146 Phu Gia,ATM So 146 Phu GiaSo 146 Phu Gia,21.087447,105.809304
Hà Nội,Chi nhánh Gia Lâm - Phòng giao dịch Sài Đồng,"Chi nhánh Gia Lâm - Phòng giao dịch Sài Đồng573 Nguyễn Văn Linh, Phường Sài Đồng, Quận Long Biên, Thành phố Hà Nội",21.031161,105.91194
Hà Nội,Chi nhánh Gia Lâm - Phòng giao dịch Đức Giang,"Chi nhánh Gia Lâm - Phòng giao dịch Đức GiangSố 40 Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Thành phố Hà Nội",21.045893,105.875343
Hà Nội,Chi nhánh Long Biên,"Chi nhánh Long BiênSố 562 Nguyễn Văn Cừ, Phường Gia Thụy, Quận Long Biên, Thành phố Hà Nội",21.046017,105.875361
Hà Nội,Chi nhánh Long Biên - Phòng giao dịch Nguyễn Sơn,"Chi nhánh Long Biên - Phòng giao dịch Nguyễn SơnSố 13, đường Nguyễn Sơn, Phường Ngọc Lâm, Quận Long Biên, Thành phố Hà Nội",21.047948,105.875655
Hà Nội,Chi nhánh Long Biên - Phòng giao dịch Bắc Long Biên,"Chi nhánh Long Biên - Phòng giao dịch Bắc Long BiênSố 44 Sài Đồng, Phường Sài Đồng, Quận Long Biên, Thành phố Hà Nội",21.034022,105.90993
Hà Nội,Chi nhánh Long Biên - Phòng giao dịch Cổ Linh,"Chi nhánh Long Biên - Phòng giao dịch Cổ LinhThửa LK09, Lô NO-07, Dự án đầu tư xây dựng nhà ở thấp tầng để bán đối với 128 thửa đất tại ô quy hoạch E.2/NO11, phường Bồ Đề, quận Long Biên, Thành phố Hà Nội",0.0,0.0
Hà Nội,Chi nhánh Long Biên - Địa điểm kinh doanh - Phòng giao dịch Việt Hưng,"Chi nhánh Long Biên - Địa điểm kinh doanh - Phòng giao dịch Việt HưngSố 39 Vũ Đức Thận, phường Việt Hưng, quận Long Biên, thành phố Hà Nội, Việt Nam",21.05728,105.89133
Hà Nội,ATM 562 Nguyen Van Cu,ATM 562 Nguyen Van Cu562 Nguyen Van Cu,21.049487,105.88381
Hà Nội,ATM So 44 Sai Dong,ATM So 44 Sai DongSo 44 Sai Dong,21.034376,105.910305
Hà Nội,ATM So 562 Nguyen Van Cu,ATM So 562 Nguyen Van CuSo 562 Nguyen Van Cu,21.049487,105.88381
Hà Nội,ATM 13 Nguyen Son,ATM 13 Nguyen Son13 Nguyen Son,21.048132,105.875662
Hà Nội,"ATM 573 Nguyen Van Linh, Sai Dong","ATM 573 Nguyen Van Linh, Sai Dong573 Nguyen Van Linh, Sai Dong",21.031119,105.91193
Hà Nội,Chi nhánh Láng Hạ - Phòng giao dịch số 03,"Chi nhánh Láng Hạ - Phòng giao dịch số 03Số 159 Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Thành phố Hà Nội",21.042868,105.776939
Hà Nội,Chi nhánh Láng Hạ - Phòng giao dịch số 05,"Chi nhánh Láng Hạ - Phòng giao dịch số 05Nhà C2 Trung Kính, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội",21.014824,105.7908
Hà Nội,Chi nhánh Láng Hạ - Phòng giao dịch Số 06,"Chi nhánh Láng Hạ - Phòng giao dịch Số 06Số 180 phố Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội",21.009285,105.797494
Hà Nội,Chi nhánh Mỹ Đình - Phòng giao dịch Số 03,"Chi nhánh Mỹ Đình - Phòng giao dịch Số 03Nhà B2 phố Nguyễn Thị Định, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội",21.010445,105.804654
Hà Nội,Chi nhánh Mỹ Đình - Phòng giao dịch Số 04,"Chi nhánh Mỹ Đình - Phòng giao dịch Số 04Tầng 1, Tòa nhà CT3 VIMECO ngõ 218 Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội",21.010645,105.793496
Hà Nội,Chi nhánh Mỹ Đình - Phòng giao dịch Số 05,"Chi nhánh Mỹ Đình - Phòng giao dịch Số 05C1 tổ 54, Phường Mai Dịch, Quận Cầu Giấy, Thành phố Hà Nội",21.036641,105.778221
Hà Nội,Chi nhánh Nam Hà Nội - Phòng giao dịch Nam Đô,"Chi nhánh Nam Hà Nội - Phòng giao dịch Nam ĐôToà nhà Chelsea Park, KĐT Yên Hoà, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội",21.022341,105.790215
Hà Nội,Chi nhánh Tây Đô - Phòng giao dịch Số 2,"Chi nhánh Tây Đô - Phòng giao dịch Số 2Ô đất số 12A, lô TTA Khu Văn phòng, Nhà ở và Dịch vụ công cộng Xuân Phương Garden, phường Phương Canh, quân Nam Từ Liêm, thành phố Hà Nội.",0.0,0.0
Hà Nội,Chi nhánh Trung Yên,"Chi nhánh Trung YênTầng 1, 2, 3 toà nhà Diamond Flower,  Số 48 đường Lê Văn Lương, Phường Nhân Chính, Quận Cầu Giấy, Thành phố Hà Nội",21.005321,105.803928
Hà Nội,Chi nhánh Trung Yên - Phòng giao dịch Số 1,"Chi nhánh Trung Yên - Phòng giao dịch Số 1Số 01, phố Đỗ Quang, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội",21.012075,105.801478
Hà Nội,Chi nhánh Trung Yên - Phòng giao dịch Số 3,"Chi nhánh Trung Yên - Phòng giao dịch Số 3Số 162, phố Trung Kính, phường Yên Hòa, quận Cầu Giấy, thành phố Hà Nội",21.020757,105.791803
Hà Nội,Chi nhánh Tràng An - Phòng giao dịch Số 2,"Chi nhánh Tràng An - Phòng giao dịch Số 2Ô số 01 lô 1B Khu đô thị Trung Yên, Phường Trung Hòa, Quận Cầu Giấy, Thành phố Hà Nội",21.005767,105.803794
Hà Nội,Chi nhánh Tràng An - Phòng giao dịch Số 1,"Chi nhánh Tràng An - Phòng giao dịch Số 1Tầng 1, Tòa nhà Hado Park View (NO-10), Khu đô thị mới Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Thành phố Hà Nội",21.029771,105.792319
Hà Nội,Chi nhánh Tràng An - Phòng giao dịch Số 11,"Chi nhánh Tràng An - Phòng giao dịch Số 11Số 69, Trần Thái Tông, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội",21.033499,105.788508
Hà Nội,Chi nhánh Tràng An - Phòng giao dịch Nhân Chính,"Chi nhánh Tràng An - Phòng giao dịch Nhân ChínhTầng 1, Toà nhà 18T1, Khu đô thị Trung Hoà - Nhân Chính, Phường Nhân Chính, Quận Cầu Giấy, Thành phố Hà Nội",21.006051,105.805323
Hà Nội,Chi nhánh Tây Hà Nội,"Chi nhánh Tây Hà NộiToà nhà Lô A1K cụm SXTTCN&CN nhỏ, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội",0.0,0.0
Hà Nội,Chi nhánh Tây Hồ - Phòng giao dịch Số 22,"Chi nhánh Tây Hồ - Phòng giao dịch Số 22Số 345 đường Lạc long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Thành phố Hà Nội",21.054507,105.808881
Hà Nội,Chi nhánh Hà Nội - Phòng giao dịch Nghĩa Đô,"Chi nhánh Hà Nội - Phòng giao dịch Nghĩa ĐôSố 48 Nguyễn Đình Hoan, Phường Nghĩa Đô, Quận Cầu Giấy, Thành phố Hà Nội",21.044414,105.805248
Hà Nội,Chi nhánh Bắc Hà Nội - Phòng giao dịch Số 7,"Chi nhánh Bắc Hà Nội - Phòng giao dịch Số 7Số 179, tổ 5 phố Quan Hoa, phường Quan Hoa, Quận Cầu Giấy, Thành phố Hà Nội",21.035629,105.805058
Hà Nội,Chi nhánh Hoàng Quốc Việt,"Chi nhánh Hoàng Quốc ViệtSố nhà 135 đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Thành phố Hà Nội",21.049361,105.806825
Hà Nội,Chi nhánh Hoàng Quốc Việt - Phòng giao dịch Số 1,"Chi nhánh Hoàng Quốc Việt - Phòng giao dịch Số 1Tầng 1 và tầng 2, tòa nhà 9 tầng, số 137, đường Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy, Thành phố Hà Nội",21.044632,105.793669
Hà Nội,Chi nhánh Thăng Long - Phòng giao dịch Số 6,"Chi nhánh Thăng Long - Phòng giao dịch Số 6Số 15 Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội",21.041566,105.788747
